"","n","date","vcrix"
"1","1",2016-06-29,1000
"2","2",2016-06-30,994.856725208076
"3","3",2016-07-01,994.856725208076
"4","4",2016-07-02,987.090218897218
"5","5",2016-07-03,978.249238524084
"6","6",2016-07-04,969.024845471485
"7","7",2016-07-05,963.158685580139
"8","8",2016-07-06,964.70065605244
"9","9",2016-07-07,959.007908561849
"10","10",2016-07-08,987.068708900514
"11","11",2016-07-09,1001.5729945762
"12","12",2016-07-10,1001.70355534133
"13","13",2016-07-11,999.358287388989
"14","14",2016-07-12,991.934185757586
"15","15",2016-07-13,882.795722715426
"16","16",2016-07-14,856.314939422039
"17","17",2016-07-15,857.212268661674
"18","18",2016-07-16,857.744390707372
"19","19",2016-07-17,755.357351345474
"20","20",2016-07-18,741.350634137175
"21","21",2016-07-19,740.190383276457
"22","22",2016-07-20,739.64105462285
"23","23",2016-07-21,728.661968059232
"24","24",2016-07-22,659.921846714716
"25","25",2016-07-23,520.516971821602
"26","26",2016-07-24,489.976148199356
"27","27",2016-07-25,447.459501576095
"28","28",2016-07-26,446.900530102787
"29","29",2016-07-27,411.58248725738
"30","30",2016-07-28,397.742517006386
"31","31",2016-07-29,401.310184968683
"32","32",2016-07-30,408.211733328574
"33","33",2016-07-31,367.172290079048
"34","34",2016-08-01,367.172290079048
"35","35",2016-08-02,378.884406973603
"36","36",2016-08-03,715.554331627601
"37","37",2016-08-04,811.186277036304
"38","38",2016-08-05,776.721756210228
"39","39",2016-08-06,756.988287909541
"40","40",2016-08-07,725.958975492555
"41","41",2016-08-08,698.88460232332
"42","42",2016-08-09,692.620166814419
"43","43",2016-08-10,693.475258589992
"44","44",2016-08-11,697.22033914435
"45","45",2016-08-12,686.70687915293
"46","46",2016-08-13,686.650000072971
"47","47",2016-08-14,687.657095843565
"48","48",2016-08-15,691.640743508495
"49","49",2016-08-16,691.065467935489
"50","50",2016-08-17,689.049474599278
"51","51",2016-08-18,690.859755636165
"52","52",2016-08-19,692.899676820699
"53","53",2016-08-20,694.176351989846
"54","54",2016-08-21,696.307254319727
"55","55",2016-08-22,692.377675674098
"56","56",2016-08-23,691.924125971206
"57","57",2016-08-24,691.062796479651
"58","58",2016-08-25,690.415999113179
"59","59",2016-08-26,686.751969928599
"60","60",2016-08-27,684.592322388649
"61","61",2016-08-28,684.232759104436
"62","62",2016-08-29,683.260795442175
"63","63",2016-08-30,681.514943727321
"64","64",2016-08-31,664.114062708987
"65","65",2016-09-01,664.114062708987
"66","66",2016-09-02,353.287468850262
"67","67",2016-09-03,99.4171570882245
"68","68",2016-09-04,162.364414703869
"69","69",2016-09-05,193.848833266505
"70","70",2016-09-06,203.765614344006
"71","71",2016-09-07,219.555109290566
"72","72",2016-09-08,233.214400172058
"73","73",2016-09-09,240.467007681878
"74","74",2016-09-10,234.152522840062
"75","75",2016-09-11,224.536920316782
"76","76",2016-09-12,258.70415670101
"77","77",2016-09-13,255.306060721522
"78","78",2016-09-14,232.791700050982
"79","79",2016-09-15,225.479170536717
"80","80",2016-09-16,223.188391411069
"81","81",2016-09-17,220.501463367531
"82","82",2016-09-18,220.483023670175
"83","83",2016-09-19,220.23531748067
"84","84",2016-09-20,208.078162094384
"85","85",2016-09-21,198.494676395185
"86","86",2016-09-22,218.381138495625
"87","87",2016-09-23,214.693069851942
"88","88",2016-09-24,215.701892457527
"89","89",2016-09-25,212.642690654526
"90","90",2016-09-26,210.952208426549
"91","91",2016-09-27,198.622824399775
"92","92",2016-09-28,196.989014047651
"93","93",2016-09-29,193.391768694686
"94","94",2016-09-30,194.021183529906
"95","95",2016-10-01,194.021183529906
"96","96",2016-10-02,206.496369553842
"97","97",2016-10-03,210.731934003865
"98","98",2016-10-04,178.540952056197
"99","99",2016-10-05,169.111753951179
